age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
2.1671739,8.978262,0.1341547,0.010526972,353.07254,0.2413722,7.700877,9.335894,4.1444154,1.402352,1.7552934,0.099999994,7.4540806,1.6610335,8.34519,6358.889
2.2871192,9.031347,0.13404682,0.012055633,356.01236,0.2693607,7.717434,9.359288,4.1453104,1.3939102,1.7299491,0.1,7.4600797,1.6540821,8.380394,6301.2305
1.733867,8.936939,0.13354525,0.014391035,347.05762,0.23286968,7.731308,9.239016,4.1739583,1.4183236,1.9053323,0.10000001,7.488099,1.6145608,8.33593,6476.22
2.6879618,8.974919,0.13401625,0.006040815,370.73404,0.03128943,7.7290487,9.429422,4.129693,1.3167434,1.5566301,0.10000001,7.461782,1.637608,8.368253,6421.823
2.5870771,8.950302,0.13419056,0.0072643855,368.89233,0.041752547,7.7150364,9.412808,4.1285086,1.3293495,1.5801635,0.10000001,7.452089,1.6478932,8.347494,6438.7314
2.6886988,9.016903,0.13286206,0.008324442,368.87784,0.119461596,7.7203274,9.429542,4.13466,1.3345568,1.5882258,0.1,7.526603,1.6400857,8.383146,6338.0195
2.7073855,8.956322,0.13221887,0.006203282,370.78043,0.009554595,7.7204733,9.432549,4.1352615,1.305704,1.5451046,0.1,7.5632167,1.620095,8.355438,6438.8477
2.6910467,8.9934845,0.13154238,0.009137519,368.96506,0.087688595,7.714999,9.429921,4.1392255,1.3233687,1.5763351,0.1,7.602113,1.6245844,8.369615,6368.4717
3.1575823,8.99877,0.1308176,0.0052972124,382.57764,-0.054782122,7.7175694,9.499354,4.122228,1.2628744,1.4501128,0.10000001,7.6442313,1.6184245,8.382475,6373.0938
3.162446,9.013875,0.13090365,0.007480693,381.29755,-0.00811553,7.7105103,9.500022,4.1205645,1.2731402,1.4641914,0.099999994,7.6392064,1.6263839,8.385405,6330.5728
