# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1563   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  184         8.0000000000000000E+000         3.1715484272867162E-001         3.1715428762136522E-001         3.5379188530732852E+000         4.8619318401997127E+000        -1.8162382806116728E+000         0.0000000000000000E+000            0.041341           13.457005           12.405241           11.029690            9.991897            8.753596            7.490527            6.831019            6.624442           10.069384           11.695908           11.034394           12.657625           11.244301           10.084713           11.299629            9.028993           10.067559           11.255546           11.299364            9.007607            8.960974           10.087393           11.274757            9.007029           -1.000000
  185         8.0000000000000000E+000         3.1812776511482194E-001         3.1812720811238848E-001         3.5382025185508703E+000         4.8623311619696334E+000        -1.8141614475994858E+000         0.0000000000000000E+000            0.041342           13.447803           12.395556           11.020226            9.983506            8.747501            7.486156            6.826536            6.620065           10.061810           11.686544           11.025401           12.648250           11.234669           10.077492           11.290157            9.022603           10.060266           11.246081           11.289913            9.001228            8.954814           10.080103           11.265278            9.000672           -1.000000
  186         8.0000000000000000E+000         3.1908713079178913E-001         3.1908657197559853E-001         3.5384990210575928E+000         4.8634299234154001E+000        -1.8127513984118360E+000         0.0000000000000000E+000            0.041343           13.440151           12.387299           11.012114            9.976519            8.742988            7.483502            6.823797            6.617434           10.055708           11.678622           11.017791           12.640368           11.226385           10.071773           11.282035            9.017773           10.054469           11.237966           11.281814            8.996409            8.950232           10.074308           11.257147            8.995877           -1.000000
  187         8.0000000000000000E+000         3.2016698662410537E-001         3.2016642581329330E-001         3.5388360362095144E+000         4.8652909858389277E+000        -1.8117825499256925E+000         0.0000000000000000E+000            0.041342           13.433100           12.379471           11.004373            9.970057            8.739406            7.482086            6.822314            6.616068           10.050282           11.671171           11.010631           12.633013           11.218451           10.066792           11.274282            9.013821           10.049397           11.230219           11.274086            8.992473            8.946568           10.069242           11.249383            8.991967           -1.000000
  188         8.0000000000000000E+000         3.2488820139621094E-001         3.2488763090792344E-001         3.5399404033112720E+000         4.8666464721749749E+000        -1.8024111565067717E+000         0.0000000000000000E+000            0.041340           13.394066           12.338572           10.964332            9.934187            8.712502            7.461869            6.801669            6.595843           10.017582           11.631493           10.972421           12.593338           11.177752           10.035466           11.234211            8.985742           10.017793           11.190180           11.234099            8.964437            8.919382           10.037646           11.209284            8.964020           -1.000000
  189         8.0000000000000000E+000         3.2955568391033874E-001         3.2955510378407665E-001         3.5410740093550586E+000         4.8684038450232983E+000        -1.7933965013537128E+000         0.0000000000000000E+000            0.041337           13.355556           12.298079           10.924647            9.898787            8.686391            7.442659            6.782046            6.576659            9.985457           11.592218           10.934627           12.554155           11.137390           10.004762           11.194498            8.958397            9.986800           11.150496           11.194472            8.937139            8.892958           10.006665           11.169538            8.936811           -1.000000
  190         8.0000000000000000E+000         3.5382243376378203E-001         3.5382180416435627E-001         3.5463527656128813E+000         4.8636074624500614E+000        -1.7366606753327609E+000         0.0000000000000000E+000            0.041321           13.139332           12.073579           10.704697            9.698741            8.529066            7.316448            6.653265            6.450085            9.800198           11.372767           10.723393           12.336375           10.914175            9.825950           10.974481            8.795116            9.806687           10.930639           10.974859            8.774059            8.733851            9.826604           10.949384            8.774164           -1.000000
  191         8.0000000000000000E+000         3.8221523931171963E-001         3.8221455061101983E-001         3.5520201450940587E+000         4.8541790641263498E+000        -1.6710247427110643E+000         0.0000000000000000E+000            0.041303           12.901557           11.824694           10.459007            9.472912            8.350058            7.169837            6.503512            6.302506            9.590108           11.128124           10.486303           12.095546           10.664966            9.622643           10.728764            8.608828            9.602067           10.685099           10.729613            8.587979            8.551929            9.622036           10.703505            8.588600           -1.000000
  192         8.0000000000000000E+000         4.1222577077358491E-001         4.1222501754710544E-001         3.5580227379499223E+000         4.8395470591969314E+000        -1.6000974158286225E+000         0.0000000000000000E+000            0.041284           12.653110           11.562176           10.198648            9.231951            8.158958            7.011556            6.341141            6.142573            9.365355           10.869394           10.234117           11.842191           10.400852            9.404824           10.468399            8.409238            9.382959           10.424925           10.469777            8.388601            8.356781            9.402983           10.442964            8.389818           -1.000000
  193         8.0000000000000000E+000         4.6527260569596740E-001         4.6527173281570977E-001         3.5699009248140534E+000         4.8052667415751431E+000        -1.4656827075886709E+000         0.0000000000000000E+000            0.041240           12.187895           11.066845            9.708291            8.777332            7.800445            6.713326            6.032302            5.840879            8.940264           10.382835            9.757907           11.364412            9.902796            8.992537            9.977986            8.032927            8.968391            9.934896            9.980421            8.012678            7.988608            8.988533            9.952262            8.015121           -1.000000
  194         8.0000000000000000E+000         5.0198083176191965E-001         5.0197986950402107E-001         3.5799480653244267E+000         4.7749423417357493E+000        -1.3617491564267876E+000         0.0000000000000000E+000            0.041205           11.822248           10.678452            9.330579            8.428875            7.526028            6.483885            5.790869            5.609869            8.612341           10.007278            9.390443           10.988725            9.518031            8.674083            9.600068            7.743708            8.648296            9.557319            9.603312            7.723750            7.705376            8.668560            9.574242            7.727192           -1.000000
  195         8.0000000000000000E+000         5.4747717527977957E-001         5.4747608866669828E-001         3.5963246285151849E+000         4.7341622187507797E+000        -1.2177984936592134E+000         0.0000000000000000E+000            0.041151           11.295956           10.120269            8.800777            7.943693            7.150476            6.171039            5.456252            5.298603            8.152824            9.479641            8.873401           10.448071            8.975646            8.227515            9.069552            7.343456            8.199643            9.027386            9.073975            7.323905            7.313217            8.220139            9.043789            7.328970           -1.000000
  196         8.0000000000000000E+000         5.8120419491978148E-001         5.8120300196861296E-001         3.6096754258540109E+000         4.7129077045207683E+000        -1.1174690568847649E+000         0.0000000000000000E+000            0.041105           10.879602            9.700961            8.418769            7.601936            6.887213            5.954687            5.234618            5.095449            7.824902            9.091123            8.500500           10.036359            8.582037            7.908247            8.686365            7.062110            7.879019            8.644761            8.691558            7.042847            7.037163            7.899767            8.660946            7.049097           -1.000000
  197         8.0000000000000000E+000         6.0524164781587497E-001         6.0524037380038409E-001         3.6179150868662906E+000         4.7036596399691764E+000        -1.0575479280605828E+000         0.0000000000000000E+000            0.041071           10.613345            9.443978            8.191557            7.401278            6.729920            5.824290            5.106930            4.978801            7.629436            8.855914            8.278267            9.780853            8.347014            7.717220            8.458180            6.894497            7.687322            8.416966            8.463764            6.875388            6.872205            7.708253            8.433109            6.882308           -1.000000
  198         8.0000000000000000E+000         6.1841557387141088E-001         6.1841425202189748E-001         3.6222439256334549E+000         4.7037263019293452E+000        -1.0314797282903736E+000         0.0000000000000000E+000            0.041053           10.480942            9.322137            8.086687            7.310739            6.660413            5.769195            5.055752            4.933002            7.540744            8.744555            8.175901            9.658529            8.238051            7.630577            8.352772            6.820024            7.600368            8.311779            8.358512            6.800992            6.798986            7.621397            8.327916            6.808238           -1.000000
  199         8.0000000000000000E+000         6.3102504732525000E-001         6.3102367821347771E-001         3.6258430264174137E+000         4.7032341440934102E+000        -1.0081495435240571E+000         0.0000000000000000E+000            0.041038           10.363470            9.216755            7.995874            7.232139            6.598438            5.719370            5.010221            4.891715            7.463265            8.646647            8.087193            9.552059            8.143888            7.554658            8.261530            6.754175            7.524210            8.220734            8.267370            6.735203            6.734111            7.545319            8.236869            6.742704           -1.000000
